scenario,seed,algo,user,dst,is_cloud,deadline,delay,excess,slack,L_u,O_u_bits,p_u,gateway,assigned_server,assigned_cores_len
1,1,Greedy,5,7,0,0.10683589447880226,0.09857099627202688,0.0,0.008264898206775381,1000000000.0,819200.0,0.17323608373256047,0,7,1
1,1,Greedy,6,8,1,0.11087338579336911,0.09966930203399636,0.0,0.011204083759372749,2000000000.0,1228800.0,0.16018234477585652,6,-1,0
1,1,Greedy,7,8,1,0.10392593770229507,0.09192785704556215,0.0,0.011998080656732912,2000000000.0,1638400.0,0.12876156021959959,3,-1,0
1,1,Greedy,8,8,1,0.11992282380237256,0.06584143180379992,0.0,0.054081391998572634,1000000000.0,1228800.0,0.17827604679261685,2,-1,0
1,1,Greedy,9,8,1,0.10486430928612654,0.05872867111570632,0.0,0.04613563817042022,1000000000.0,819200.0,0.1251267578171082,4,-1,0
1,1,Greedy,10,4,0,0.10513734934454205,0.09693096193831903,0.0,0.008206387406223023,2000000000.0,1228800.0,0.10752111118144045,4,4,1
1,1,Greedy,11,8,1,0.10146380144781933,0.0660979995106983,0.0,0.035365801937121036,1500000000.0,819200.0,0.1962864578443228,1,-1,0
1,1,Greedy,12,8,1,0.10515606237993473,0.07335503242700042,0.0,0.03180102995293431,1000000000.0,819200.0,0.15400112050964693,2,-1,0
1,1,Greedy,13,8,1,0.11526257065088107,0.1058700721261668,0.0,0.009392498524714271,2000000000.0,1638400.0,0.17738942975498115,7,-1,0
1,1,Greedy,14,8,1,0.11395787141366162,0.06006839521239286,0.0,0.053889476201268764,1000000000.0,1638400.0,0.15292228076303602,1,-1,0
1,1,Greedy,15,6,0,0.1025734642463434,0.07346746337452409,0.0,0.029106000871819304,1500000000.0,1638400.0,0.16115797303718216,6,6,1
1,1,Greedy,16,8,1,0.10752477002856188,0.10927443362847154,0.0017496635999096621,-0.0017496635999096621,1500000000.0,1638400.0,0.10338922505165063,1,-1,0
1,1,Greedy,17,8,1,0.10841842789234926,0.09058497320998783,0.0,0.01783345468236143,1500000000.0,1638400.0,0.11867936793538086,2,-1,0
1,1,Greedy,18,8,1,0.11329968492723921,0.05849400041886059,0.0,0.054805684508378624,1000000000.0,819200.0,0.16746893954347775,6,-1,0
1,1,Greedy,19,8,1,0.10911857926087498,0.05170052340795045,0.0,0.05741805585292453,1000000000.0,1228800.0,0.15705645979524985,6,-1,0
1,1,Greedy,20,4,0,0.11173036653651063,0.11113715444706448,0.0,0.0005932120894461407,2000000000.0,1228800.0,0.11585550339867128,4,4,1
1,1,Greedy,21,8,1,0.11679369207217885,0.09599731013792145,0.0,0.020796381934257396,2000000000.0,819200.0,0.19520292687261848,3,-1,0
1,1,Greedy,22,8,1,0.1145294722062474,0.09137905769748655,0.0,0.023150414508760847,2000000000.0,1638400.0,0.11543536325474044,7,-1,0
1,1,Greedy,23,8,1,0.10730014527017118,0.06340598699259074,0.0,0.04389415827758043,1500000000.0,819200.0,0.15103032497386853,2,-1,0
1,1,Greedy,24,8,1,0.10896792618688969,0.11355877339103601,0.00459084720414632,-0.00459084720414632,2000000000.0,1638400.0,0.11440028750192577,5,-1,0
1,1,Greedy,25,8,1,0.10735399139380013,0.052669048667158345,0.0,0.05468494272664178,1000000000.0,1228800.0,0.1717371726106235,1,-1,0
1,1,Greedy,26,8,1,0.10219469328013393,0.06968009655494525,0.0,0.03251459672518868,1500000000.0,819200.0,0.12763130140951529,1,-1,0
